Palette,ColorName,DarkTheme,LightTheme,LightEnabled,DarkEnabled,LightDisabled,DarkDisabled
SIMPLE,Background,#121212,#FFFFFF,,,,
SIMPLE,Stroke,#E5E5F6,#000000,,,,
SIMPLE,Accent,#5b5b7d,#B8B8FF,,,,
SIMPLE,Accent-Fill,#99A2E3,#E5E5FF,,,,
SIMPLE (globa),MarkupsModuleRed,#FD5959,#DE4D4D,,,,
SIMPLE (global),SegmentEditorModuleGreen,#A4C5AC,#A4C5AC,,,,
SIMPLE (global),Global-SharedBlack,#010101,#010101,,,,
SIMPLE (global),Global-Grey50Percent,#808080,#808080,,,,
SIMPLE (global),Global-GreySixtyPercent,#989898,#989898,,,,
SIMPLE (global),Global-GreySeventyPercent,#B2B2B2,#B2B2B2,,,,
SIMPLE (global),Global-White,#FFFFFF,#FFFFFF,,,,
SIMPLE (global),Global-SliceViewerYellow,#F7ce63,#F7ce63,,,,
SIMPLE (global),Global-SliceViewerRed,#ED726C,#ED726C,,,,
SIMPLE (global),Global-SliceViewerGreen,#8ED595,#8ED595,,,,
SIMPLE (global),Global-ThreeDViewerFillBlue,#D6D6FF,#D6D6FF,,,,
SIMPLE (global),Global-ThreeDViewerStrokeBlue,#9899D5,#9899D5,,,,
SIMPLE (global),Global-CompareViewerOrange,#F1A16E,#F1A16E,,,,
SIMPLE (global),Global-SliceViewerGrey,#BFBFBF,#BFBFBF,,,,
SIMPLE (global),Global-ErrorMessageRed,#D53F37,#D53F37,,,,
SIMPLE (global),Global-WarningMessageYellow,#F7ce63,#F7ce63,,,,
SIMPLE (global),Global-ConfirmMessageGreen,#8ED595,#8ED595,,,,
SIMPLE (global),Global-InformationMessageBlue,#7396DF,#7396DF,,,,
BASIC,Background,,,#FFFFFF,#121212,#FFFFFF,#121212
BASIC,BasicStroke,,,#000000,#E5E5F6,#B2B2B2,#666666
BASIC,BasicFill,,,#E5E5FF,#99A2E3,#E8E8FF,#808080
BASIC,Accent1,,,#010101,#010101,#B2B2B2,#707070
BASIC,Accent2,,,#B8B8FF,#5b5b7d,#CCCCCC,#666666
EXTENDED,PassThroughWhite,,,#FFFFFF,#FFFFFF,#CCCCCC,#666666
EXTENDED,PassThroughBlack,,,#010101,#010101,#CCCCCC,#666666
EXTENDED,SlicerDarkestBlue,,,#5B5B7D,#5B5B7D,#CCCCCC,#666666
EXTENDED,SlicerDarkBlue,,,#787BBB,#787BBB,#CCCCCC,#666666
EXTENDED,SlicerMediumBlue,,,#9A9AD6,#9A9AD6,#CCCCCC,#666666
EXTENDED,SlicerCoolBlue,,,#99A2E3,#99A2E3,#CCCCCC,#666666
EXTENDED,ThreeDViewerBlueLight,,,#EDEDFE,#EDEDFE,#CCCCCC,#666666
EXTENDED,CompareViewerOrange,,,#F1A16E,#F1A16E,#CCCCCC,#666666
EXTENDED,SliceViewerYellow,,,#F7ce63,#F7ce63,#CCCCCC,#666666
EXTENDED,SliceViewerRed,,,#D53F37,#D53F37,#CCCCCC,#666666
EXTENDED,SliceViewerGreen,,,#8ED595,#8ED595,#CCCCCC,#666666
EXTENDED,SliceViewerLightGrey,,,#E5E5E5,#E5E5E5,#CCCCCC,#666666
EXTENDED,SliceViewerGrey,,,#BFBFBF,#BFBFBF,#CCCCCC,#666666
EXTENDED,PlotViewerBlue,,,#00a1e8,#00a1e8,#CCCCCC,#666666
EXTENDED,PlotViewerRed,,,#e82b1f,#e82b1f,#CCCCCC,#666666
EXTENDED,PlotViewerOrange,,,#f28a24,#f28a24,#CCCCCC,#666666
EXTENDED,PlotViewerGreen,,,#03b42d,#03b42d,#CCCCCC,#666666
EXTENDED,ErrorMessageRed,,,#D53F37,#D53F37,#CCCCCC,#666666
EXTENDED,WarningMessageYellow,,,#F7ce63,#F7ce63,#CCCCCC,#666666
EXTENDED,ConfirmMessageGreen,,,#8ED595,#8ED595,#CCCCCC,#666666
EXTENDED,InformationMessageBlue,,,#7396DF,#7396DF,#CCCCCC,#666666
EXTENDED,SegmentEditorModuleGreen,,,#A4C5AC,#A4C5AC,#CCCCCC,#666666
EXTENDED,MarkupsModuleRed,,,#DE4D4D,#FD5959,#CCCCCC,#666666
EXTENDED,GreyFiftyPercent,,,#808080,#808080,#CCCCCC,#666666
EXTENDED,GreySixtyPercent,,,#989898,#989898,#CCCCCC,#666666
EXTENDED,GreySeventyPercent,,,#B2B2B2,#B2B2B2,#CCCCCC,#666666
CUSTOM,DarkGreen,,,#64B381,#64B381,#CCCCCC,#666666
CUSTOM,MediumGreen,,,#8CC497,#8CC497,#CCCCCC,#666666
CUSTOM,LightGreen,,,#BADFC3,#BADFC3,#CCCCCC,#666666
CUSTOM,DarkCyan,,,#6BACC2,#6BACC2,#CCCCCC,#666666
CUSTOM,MediumCyan,,,#8CB4C2,#8CB4C2,#CCCCCC,#666666
CUSTOM,LightCyan,,,#AFCED8,#AFCED8,#CCCCCC,#666666
CUSTOM,GreyedRed,,,#D75C58,#D75C58,#CCCCCC,#666666
CUSTOM,Brown,,,#D5B59D,#D5B59D,#CCCCCC,#666666
CUSTOM,DarkOrange,,,#F1A16E,#F1A16E,#CCCCCC,#666666
CUSTOM,WarmOrange,,,#ffb763,#ffb763,#CCCCCC,#666666
CUSTOM,Yellow,,,#F7E08F,#F7E08F,#CCCCCC,#666666
CUSTOM,LightYellow,,,#F7EBBA,#F7EBBA,#CCCCCC,#666666
